10/27/2023,U102,asmith,203.0.113.5,SSH,Login,failure,invalid_password
10/27/2023,U102,asmith,203.0.113.5,SSH,Login,failure,invalid_password
10/27/2023,U102,asmith,203.0.113.5,SSH,Login,failure,invalid_password
10/27/2023,U102,asmith,203.0.113.5,SSH,Login,failure,account_locked

10/27/2023,U101,jdoe,192.168.1.50,VPN,Login,success,mfa_verified
10/27/2023,U101,jdoe,192.168.1.50,Email,Login,success,null
10/27/2023,U101,jdoe,192.168.1.50,Email,Logout,success,null

10/27/2023,U103,ljames,198.51.100.10,VPN,Login,failure,mfa_timeout
10/27/2023,U103,ljames,198.51.100.10,VPN,Login,failure,mfa_timeout
10/27/2023,U103,ljames,198.51.100.10,VPN,Login,success,mfa_verified

10/27/2023,U104,adavis,192.168.1.55,Portal,Login,success,session_start
10/27/2023,U104,adavis,192.168.1.55,Portal,Logout,success,session_end

10/27/2023,U105,rlee,192.168.1.60,VPN,Login,success,mfa_verified
10/27/2023,U105,rlee,192.168.1.60,VPN,Logout,success,null

10/27/2023,U106,btaylor,45.33.32.156,Email,Login,failure,invalid_password
10/27/2023,U106,btaylor,45.33.32.156,Email,Login,failure,invalid_password
10/27/2023,U106,btaylor,45.33.32.156,Email,Login,failure,suspicious_ip

10/27/2023,U107,kmiller,192.168.1.70,Portal,Login,success,session_start
10/27/2023,U107,kmiller,192.168.1.70,Portal,Action,success,view_records
10/27/2023,U107,kmiller,192.168.1.70,Portal,Logout,success,session_end

10/27/2023,U108,csanchez,203.0.113.88,VPN,Login,failure,mfa_timeout
10/27/2023,U108,csanchez,203.0.113.88,VPN,Login,failure,mfa_timeout
10/27/2023,U108,csanchez,203.0.113.88,VPN,Login,failure,account_locked

10/27/2023,U109,djohnson,192.168.1.80,Email,Login,success,null
10/27/2023,U109,djohnson,192.168.1.80,Email,Logout,success,null

10/27/2023,U110,ewilson,198.51.100.42,SSH,Login,failure,invalid_password
10/27/2023,U110,ewilson,198.51.100.42,SSH,Login,failure,invalid_password
10/27/2023,U110,ewilson,198.51.100.42,SSH,Login,failure,bruteforce_detected
